publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_ram_usage
1,1,1,1,0,1,2.4504556864640774
1,1,1,1,0,2,2.4504556864640774
1,1,1,1,0,3,2.4504556864640774
1,1,1,1,0,4,2.4504556864640774
1,1,1,1,0,5,2.4504556864640774
1,1,1,1,0,6,2.4504556864640774
1,1,1,1,0,7,2.4504556864640774
1,1,1,1,0,8,2.4504556864640774
1,1,1,1,0,9,2.4504556864640774
1,1,1,1,0,10,2.4504556864640774
1,1,1,1,1,1,2.769435569298673
1,1,1,1,1,2,2.769435569298673
1,1,1,1,1,3,2.769435569298673
1,1,1,1,1,4,2.769435569298673
1,1,1,1,1,5,2.769435569298673
1,1,1,1,1,6,2.769435569298673
1,1,1,1,1,7,2.769435569298673
1,1,1,1,1,8,2.769435569298673
1,1,1,1,1,9,2.769435569298673
1,1,1,1,1,10,2.769435569298673
1,1,1,1,2,1,3.4147163612567573
1,1,1,1,2,2,3.4147163612567573
1,1,1,1,2,3,3.4147163612567573
1,1,1,1,2,4,3.4147163612567573
1,1,1,1,2,5,3.4147163612567573
1,1,1,1,2,6,3.4147163612567573
1,1,1,1,2,7,3.4147163612567573
1,1,1,1,2,8,3.4147163612567573
1,1,1,1,2,9,3.4147163612567573
1,1,1,1,2,10,3.4147163612567573
1,1,1,0,0,1,2.4504556864640774
1,1,1,0,0,2,2.4504556864640774
1,1,1,0,0,3,2.4504556864640774
1,1,1,0,0,4,2.4504556864640774
1,1,1,0,0,5,2.4504556864640774
1,1,1,0,0,6,2.4504556864640774
1,1,1,0,0,7,2.4504556864640774
1,1,1,0,0,8,2.4504556864640774
1,1,1,0,0,9,2.4504556864640774
1,1,1,0,0,10,2.4504556864640774
1,1,1,0,1,1,2.769435569298673
1,1,1,0,1,2,2.769435569298673
1,1,1,0,1,3,2.769435569298673
1,1,1,0,1,4,2.769435569298673
1,1,1,0,1,5,2.769435569298673
1,1,1,0,1,6,2.769435569298673
1,1,1,0,1,7,2.769435569298673
1,1,1,0,1,8,2.769435569298673
1,1,1,0,1,9,2.769435569298673
1,1,1,0,1,10,2.769435569298673
1,1,1,0,2,1,3.4147163612567573
1,1,1,0,2,2,3.4147163612567573
1,1,1,0,2,3,3.4147163612567573
1,1,1,0,2,4,3.4147163612567573
1,1,1,0,2,5,3.4147163612567573
1,1,1,0,2,6,3.4147163612567573
