publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_database_size
1,1,1,1,0,1,1.7247221821538437
1,1,1,1,0,2,1.7247221821538437
1,1,1,1,0,3,1.7247221821538437
1,1,1,1,0,4,1.7247221821538437
1,1,1,1,0,5,1.7247221821538437
1,1,1,1,0,6,1.7247221821538437
1,1,1,1,0,7,1.7247221821538437
1,1,1,1,0,8,1.7247221821538437
1,1,1,1,0,9,1.7247221821538437
1,1,1,1,0,10,1.7247221821538437
1,1,1,1,1,1,3.6764562386950326
1,1,1,1,1,2,3.6764562386950326
1,1,1,1,1,3,3.6764562386950326
1,1,1,1,1,4,3.6764562386950326
1,1,1,1,1,5,3.6764562386950326
1,1,1,1,1,6,3.6764562386950326
1,1,1,1,1,7,3.6764562386950326
1,1,1,1,1,8,3.6764562386950326
1,1,1,1,1,9,3.6764562386950326
1,1,1,1,1,10,3.6764562386950326
1,1,1,1,2,1,3.569319196396397
1,1,1,1,2,2,3.569319196396397
1,1,1,1,2,3,3.569319196396397
1,1,1,1,2,4,3.569319196396397
1,1,1,1,2,5,3.569319196396397
1,1,1,1,2,6,3.569319196396397
1,1,1,1,2,7,3.569319196396397
1,1,1,1,2,8,3.569319196396397
1,1,1,1,2,9,3.569319196396397
1,1,1,1,2,10,3.569319196396397
1,1,1,0,0,1,1.7247221821538437
1,1,1,0,0,2,1.7247221821538437
1,1,1,0,0,3,1.7247221821538437
1,1,1,0,0,4,1.7247221821538437
1,1,1,0,0,5,1.7247221821538437
1,1,1,0,0,6,1.7247221821538437
1,1,1,0,0,7,1.7247221821538437
1,1,1,0,0,8,1.7247221821538437
1,1,1,0,0,9,1.7247221821538437
1,1,1,0,0,10,1.7247221821538437
1,1,1,0,1,1,3.6764562386950326
1,1,1,0,1,2,3.6764562386950326
1,1,1,0,1,3,3.6764562386950326
1,1,1,0,1,4,3.6764562386950326
1,1,1,0,1,5,3.6764562386950326
1,1,1,0,1,6,3.6764562386950326
1,1,1,0,1,7,3.6764562386950326
1,1,1,0,1,8,3.6764562386950326
