simulation_number,publisher_number,subscriber_number,message_size,retain,qos,topics,ram_usage,database_size
0,1,32,8192,true,2,4,1141074,109158.4
0,1,32,16384,true,2,4,1168519,206848.0
0,1,32,2048,false,2,4,1093532,34713.6
0,1,32,2048,true,0,4,1072865,10547.2
0,1,32,1024,true,2,4,1077725,23040.0
0,1,32,4096,false,0,4,1081704,19251.2
0,1,32,16384,false,1,4,1175335,240332.8
0,1,32,4096,true,2,4,1096461,66560.0
0,1,32,1024,false,1,8,1133697,46694.4
0,1,32,8192,false,0,1,1099601,9932.8
0,1,32,8192,false,2,8,1159698,217497.6
0,1,32,4096,true,0,8,1101573,35328.0
0,1,32,4096,false,0,1,1078359,6041.6
0,1,32,4096,false,2,8,1220789,125542.4
0,1,32,4096,true,2,1,1082494,11673.6
0,1,32,16384,false,1,1,1121111,36044.8
0,1,32,8192,false,0,4,1101752,35635.2
0,1,32,16384,true,0,8,1146061,117248.0
0,1,32,8192,true,0,8,1111066,68403.2
0,1,32,8192,true,2,1,1071291,19456.0
0,1,32,16384,true,2,1,1105549,36454.4
0,1,32,2048,false,2,1,1070151,8499.2
0,1,32,1024,true,0,8,1044556,10752.0
0,1,32,2048,true,0,1,1088918,3891.2
0,1,32,2048,false,0,8,1052865,19046.4
0,1,32,1024,true,2,1,1065686,5324.8
0,1,32,2048,true,2,8,1114119,66764.8
0,1,32,2048,true,1,8,1095066,72294.4
0,1,32,1024,true,1,1,1076522,6860.8
0,1,32,2048,false,1,1,1065771,7372.8
0,1,32,8192,true,1,1,1079331,28262.4
0,1,32,16384,true,1,1,1118682,36249.6
0,1,32,1024,false,0,4,1058931,6451.2
0,1,32,4096,false,1,8,1124445,115916.8
0,1,32,16384,false,2,1,1108133,35840.0
0,1,32,4096,true,1,1,1078566,11468.8
0,1,32,16384,false,0,8,1144168,134246.4
0,1,32,8192,false,1,8,1151219,215244.8
0,1,32,1024,false,0,1,1080285,2662.4
0,1,32,1024,false,2,8,1167246,47616.0
0,1,32,4096,true,1,4,1089187,60006.4
0,1,32,16384,false,2,4,1180302,207974.4
0,1,32,1024,true,1,4,1087787,24268.8
0,1,32,2048,false,1,4,1064508,31232.0
0,1,32,8192,true,1,4,1109020,109670.4
0,1,32,16384,true,1,4,1172137,205516.8
0,1,32,2048,true,1,1,1061558,7577.6
0,1,32,1024,true,1,8,1130898,51814.4
0,1,32,2048,false,1,8,1083491,70041.6
0,1,32,8192,true,1,8,1141510,222515.2
0,1,32,16384,true,1,8,1281549,414003.2
0,1,32,8192,false,1,4,1135155,121548.8
0,1,32,1024,false,2,4,1100292,25395.2
