publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_database_size
1,1,1,1,0,1,1.997166918592098
1,1,1,1,0,2,1.997166918592098
1,1,1,1,0,3,1.997166918592098
1,1,1,1,0,4,1.997166918592098
1,1,1,1,0,5,1.997166918592098
1,1,1,1,0,6,1.997166918592098
1,1,1,1,0,7,1.997166918592098
1,1,1,1,0,8,1.997166918592098
1,1,1,1,0,9,1.997166918592098
1,1,1,1,0,10,1.997166918592098
1,1,1,1,1,1,2.474299287410927
1,1,1,1,1,2,2.474299287410927
1,1,1,1,1,3,2.474299287410927
1,1,1,1,1,4,2.474299287410927
1,1,1,1,1,5,2.474299287410927
1,1,1,1,1,6,2.474299287410927
1,1,1,1,1,7,2.474299287410927
1,1,1,1,1,8,2.474299287410927
1,1,1,1,1,9,2.474299287410927
1,1,1,1,1,10,2.474299287410927
1,1,1,1,2,1,2.132982077305117
1,1,1,1,2,2,2.132982077305117
1,1,1,1,2,3,2.132982077305117
1,1,1,1,2,4,2.132982077305117
1,1,1,1,2,5,2.132982077305117
1,1,1,1,2,6,2.132982077305117
1,1,1,1,2,7,2.132982077305117
1,1,1,1,2,8,2.132982077305117
1,1,1,1,2,9,2.132982077305117
1,1,1,1,2,10,2.132982077305117
1,1,1,0,0,1,1.997166918592098
1,1,1,0,0,2,1.997166918592098
1,1,1,0,0,3,1.997166918592098
1,1,1,0,0,4,1.997166918592098
1,1,1,0,0,5,1.997166918592098
1,1,1,0,0,6,1.997166918592098
1,1,1,0,0,7,1.997166918592098
1,1,1,0,0,8,1.997166918592098
1,1,1,0,0,9,1.997166918592098
1,1,1,0,0,10,1.997166918592098
1,1,1,0,1,1,2.474299287410927
1,1,1,0,1,2,2.474299287410927
1,1,1,0,1,3,2.474299287410927
1,1,1,0,1,4,2.474299287410927
1,1,1,0,1,5,2.474299287410927
1,1,1,0,1,6,2.474299287410927
1,1,1,0,1,7,2.474299287410927
1,1,1,0,1,8,2.474299287410927
1,1,1,0,1,9,2.474299287410927
1,1,1,0,1,10,2.474299287410927
1,1,1,0,2,1,2.132982077305117
1,1,1,0,2,2,2.132982077305117
1,1,1,0,2,3,2.132982077305117
1,1,1,0,2,4,2.132982077305117
1,1,1,0,2,5,2.132982077305117
1,1,1,0,2,6,2.132982077305117
1,1,1,0,2,7,2.132982077305117
1,1,1,0,2,8,2.132982077305117
1,1,1,0,2,9,2.132982077305117
1,1,1,0,2,10,2.132982077305117
1,1,2,1,0,1,3.504271215720148
1,1,2,1,0,2,3.504271215720148
1,1,2,1,0,3,3.504271215720148
1,1,2,1,0,4,3.504271215720148
1,1,2,1,0,5,3.504271215720148
1,1,2,1,0,6,3.504271215720148
1,1,2,1,0,7,3.504271215720148
1,1,2,1,0,8,3.504271215720148
1,1,2,1,0,9,3.504271215720148
1,1,2,1,0,10,3.504271215720148
1,1,2,1,1,1,3.8576894839127602
1,1,2,1,1,2,3.8576894839127602
1,1,2,1,1,3,3.8576894839127602
1,1,2,1,1,4,3.8576894839127602
1,1,2,1,1,5,3.8576894839127602
1,1,2,1,1,6,3.8576894839127602
1,1,2,1,1,7,3.8576894839127602
1,1,2,1,1,8,3.8576894839127602
1,1,2,1,1,9,3.8576894839127602
1,1,2,1,1,10,3.8576894839127602
1,1,2,1,2,1,3.904962211185488
1,1,2,1,2,2,3.904962211185488
1,1,2,1,2,3,3.904962211185488
1,1,2,1,2,4,3.904962211185488
1,1,2,1,2,5,3.904962211185488
1,1,2,1,2,6,3.904962211185488
1,1,2,1,2,7,3.904962211185488
1,1,2,1,2,8,3.904962211185488
1,1,2,1,2,9,3.904962211185488
1,1,2,1,2,10,3.904962211185488
1,1,2,0,0,1,3.504271215720148
1,1,2,0,0,2,3.504271215720148
1,1,2,0,0,3,3.504271215720148
1,1,2,0,0,4,3.504271215720148
1,1,2,0,0,5,3.504271215720148
1,1,2,0,0,6,3.504271215720148
1,1,2,0,0,7,3.504271215720148
1,1,2,0,0,8,3.504271215720148
1,1,2,0,0,9,3.504271215720148
1,1,2,0,0,10,3.504271215720148
1,1,2,0,1,1,3.8576894839127602
1,1,2,0,1,2,3.8576894839127602
1,1,2,0,1,3,3.8576894839127602
1,1,2,0,1,4,3.8576894839127602
1,1,2,0,1,5,3.8576894839127602
1,1,2,0,1,6,3.8576894839127602
1,1,2,0,1,7,3.8576894839127602
1,1,2,0,1,8,3.8576894839127602
1,1,2,0,1,9,3.8576894839127602
1,1,2,0,1,10,3.8576894839127602
1,1,2,0,2,1,3.904962211185488
1,1,2,0,2,2,3.904962211185488
1,1,2,0,2,3,3.904962211185488
1,1,2,0,2,4,3.904962211185488
1,1,2,0,2,5,3.904962211185488
1,1,2,0,2,6,3.904962211185488
1,1,2,0,2,7,3.904962211185488
1,1,2,0,2,8,3.904962211185488
1,1,2,0,2,9,3.904962211185488
1,1,2,0,2,10,3.904962211185488
1,1,4,1,0,1,3.504271215720148
1,1,4,1,0,2,3.504271215720148
1,1,4,1,0,3,3.504271215720148
1,1,4,1,0,4,3.504271215720148
1,1,4,1,0,5,3.504271215720148
1,1,4,1,0,6,3.504271215720148
1,1,4,1,0,7,3.504271215720148
1,1,4,1,0,8,3.504271215720148
1,1,4,1,0,9,3.504271215720148
1,1,4,1,0,10,3.504271215720148
1,1,4,1,1,1,3.8576894839127602
1,1,4,1,1,2,3.8576894839127602
1,1,4,1,1,3,3.8576894839127602
1,1,4,1,1,4,3.8576894839127602
1,1,4,1,1,5,3.8576894839127602
1,1,4,1,1,6,3.8576894839127602
1,1,4,1,1,7,3.8576894839127602
1,1,4,1,1,8,3.8576894839127602
1,1,4,1,1,9,3.8576894839127602
1,1,4,1,1,10,3.8576894839127602
1,1,4,1,2,1,3.904962211185488
1,1,4,1,2,2,3.904962211185488
1,1,4,1,2,3,3.904962211185488
1,1,4,1,2,4,3.904962211185488
1,1,4,1,2,5,3.904962211185488
1,1,4,1,2,6,3.904962211185488
1,1,4,1,2,7,3.904962211185488
1,1,4,1,2,8,3.904962211185488
1,1,4,1,2,9,3.904962211185488
1,1,4,1,2,10,3.904962211185488
1,1,4,0,0,1,3.504271215720148
1,1,4,0,0,2,3.504271215720148
1,1,4,0,0,3,3.504271215720148
1,1,4,0,0,4,3.504271215720148
1,1,4,0,0,5,3.504271215720148
1,1,4,0,0,6,3.504271215720148
1,1,4,0,0,7,3.504271215720148
1,1,4,0,0,8,3.504271215720148
1,1,4,0,0,9,3.504271215720148
1,1,4,0,0,10,3.504271215720148
1,1,4,0,1,1,3.8576894839127602
1,1,4,0,1,2,3.8576894839127602
1,1,4,0,1,3,3.8576894839127602
1,1,4,0,1,4,3.8576894839127602
1,1,4,0,1,5,3.8576894839127602
1,1,4,0,1,6,3.8576894839127602
1,1,4,0,1,7,3.8576894839127602
1,1,4,0,1,8,3.8576894839127602
1,1,4,0,1,9,3.8576894839127602
1,1,4,0,1,10,3.8576894839127602
1,1,4,0,2,1,3.904962211185488
1,1,4,0,2,2,3.904962211185488
1,1,4,0,2,3,3.904962211185488
1,1,4,0,2,4,3.904962211185488
1,1,4,0,2,5,3.904962211185488
1,1,4,0,2,6,3.904962211185488
1,1,4,0,2,7,3.904962211185488
1,1,4,0,2,8,3.904962211185488
1,1,4,0,2,9,3.904962211185488
1,1,4,0,2,10,3.904962211185488
1,1,8,1,0,1,3.504271215720148
1,1,8,1,0,2,3.504271215720148
1,1,8,1,0,3,3.504271215720148
1,1,8,1,0,4,3.504271215720148
1,1,8,1,0,5,3.504271215720148
1,1,8,1,0,6,3.504271215720148
1,1,8,1,0,7,3.504271215720148
1,1,8,1,0,8,3.504271215720148
1,1,8,1,0,9,3.504271215720148
1,1,8,1,0,10,3.504271215720148
1,1,8,1,1,1,3.8576894839127602
1,1,8,1,1,2,3.8576894839127602
1,1,8,1,1,3,3.8576894839127602
1,1,8,1,1,4,3.8576894839127602
1,1,8,1,1,5,3.8576894839127602
1,1,8,1,1,6,3.8576894839127602
1,1,8,1,1,7,3.8576894839127602
1,1,8,1,1,8,3.8576894839127602
1,1,8,1,1,9,3.8576894839127602
1,1,8,1,1,10,3.8576894839127602
1,1,8,1,2,1,3.904962211185488
1,1,8,1,2,2,3.904962211185488
1,1,8,1,2,3,3.904962211185488
1,1,8,1,2,4,3.904962211185488
1,1,8,1,2,5,3.904962211185488
1,1,8,1,2,6,3.904962211185488
1,1,8,1,2,7,3.904962211185488
1,1,8,1,2,8,3.904962211185488
1,1,8,1,2,9,3.904962211185488
1,1,8,1,2,10,3.904962211185488
1,1,8,0,0,1,3.504271215720148
1,1,8,0,0,2,3.504271215720148
1,1,8,0,0,3,3.504271215720148
1,1,8,0,0,4,3.504271215720148
1,1,8,0,0,5,3.504271215720148
1,1,8,0,0,6,3.504271215720148
1,1,8,0,0,7,3.504271215720148
1,1,8,0,0,8,3.504271215720148
1,1,8,0,0,9,3.504271215720148
