publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_ram_usage
1,1,1,1,0,1,2.2196383
1,1,1,1,0,2,2.2196383
1,1,1,1,0,3,2.2196383
1,1,1,1,0,4,2.2196383
1,1,1,1,0,5,2.2196383
1,1,1,1,0,6,2.2196383
1,1,1,1,0,7,2.2196383
1,1,1,1,0,8,2.2196383
1,1,1,1,0,9,2.2196383
1,1,1,1,0,10,2.2196383
1,1,1,1,1,1,3.1255605
1,1,1,1,1,2,3.1255605
1,1,1,1,1,3,3.1255605
1,1,1,1,1,4,3.1255605
1,1,1,1,1,5,3.1255605
1,1,1,1,1,6,3.1255605
1,1,1,1,1,7,3.1255605
1,1,1,1,1,8,3.1255605
1,1,1,1,1,9,3.1255605
1,1,1,1,1,10,3.1255605
1,1,1,1,2,1,3.2596564
1,1,1,1,2,2,3.2596564
1,1,1,1,2,3,3.2596564
1,1,1,1,2,4,3.2596564
1,1,1,1,2,5,3.2596564
1,1,1,1,2,6,3.2596564
1,1,1,1,2,7,3.2596564
1,1,1,1,2,8,3.2596564
1,1,1,1,2,9,3.2596564
1,1,1,1,2,10,3.2596564
1,1,1,0,0,1,2.2196383
1,1,1,0,0,2,2.2196383
1,1,1,0,0,3,2.2196383
1,1,1,0,0,4,2.2196383
1,1,1,0,0,5,2.2196383
1,1,1,0,0,6,2.2196383
1,1,1,0,0,7,2.2196383
1,1,1,0,0,8,2.2196383
1,1,1,0,0,9,2.2196383
1,1,1,0,0,10,2.2196383
1,1,1,0,1,1,3.1255605
1,1,1,0,1,2,3.1255605
1,1,1,0,1,3,3.1255605
1,1,1,0,1,4,3.1255605
1,1,1,0,1,5,3.1255605
1,1,1,0,1,6,3.1255605
1,1,1,0,1,7,3.1255605
1,1,1,0,1,8,3.1255605
1,1,1,0,1,9,3.1255605
1,1,1,0,1,10,3.1255605
1,1,1,0,2,1,3.2596564
1,1,1,0,2,2,3.2596564
1,1,1,0,2,3,3.2596564
1,1,1,0,2,4,3.2596564
1,1,1,0,2,5,3.2596564
1,1,1,0,2,6,3.2596564
1,1,1,0,2,7,3.2596564
1,1,1,0,2,8,3.2596564
1,1,1,0,2,9,3.2596564
1,1,1,0,2,10,3.2596564
1,1,2,1,0,1,3.903371
1,1,2,1,0,2,3.903371
1,1,2,1,0,3,3.903371
1,1,2,1,0,4,3.903371
1,1,2,1,0,5,3.903371
1,1,2,1,0,6,3.903371
1,1,2,1,0,7,3.903371
1,1,2,1,0,8,3.903371
1,1,2,1,0,9,3.903371
1,1,2,1,0,10,3.903371
1,1,2,1,1,1,5.431215
1,1,2,1,1,2,5.431215
1,1,2,1,1,3,5.431215
1,1,2,1,1,4,5.431215
1,1,2,1,1,5,5.431215
1,1,2,1,1,6,5.431215
1,1,2,1,1,7,5.431215
1,1,2,1,1,8,5.431215
1,1,2,1,1,9,5.431215
1,1,2,1,1,10,5.431215
1,1,2,1,2,1,5.98565
1,1,2,1,2,2,5.98565
1,1,2,1,2,3,5.98565
1,1,2,1,2,4,5.98565
1,1,2,1,2,5,5.98565
1,1,2,1,2,6,5.98565
1,1,2,1,2,7,5.98565
1,1,2,1,2,8,5.98565
1,1,2,1,2,9,5.98565
1,1,2,1,2,10,5.98565
1,1,2,0,0,1,3.903371
1,1,2,0,0,2,3.903371
1,1,2,0,0,3,3.903371
1,1,2,0,0,4,3.903371
1,1,2,0,0,5,3.903371
1,1,2,0,0,6,3.903371
1,1,2,0,0,7,3.903371
1,1,2,0,0,8,3.903371
1,1,2,0,0,9,3.903371
1,1,2,0,0,10,3.903371
1,1,2,0,1,1,5.431215
1,1,2,0,1,2,5.431215
1,1,2,0,1,3,5.431215
1,1,2,0,1,4,5.431215
1,1,2,0,1,5,5.431215
1,1,2,0,1,6,5.431215
1,1,2,0,1,7,5.431215
1,1,2,0,1,8,5.431215
1,1,2,0,1,9,5.431215
1,1,2,0,1,10,5.431215
1,1,2,0,2,1,5.98565
1,1,2,0,2,2,5.98565
1,1,2,0,2,3,5.98565
1,1,2,0,2,4,5.98565
1,1,2,0,2,5,5.98565
1,1,2,0,2,6,5.98565
1,1,2,0,2,7,5.98565
1,1,2,0,2,8,5.98565
1,1,2,0,2,9,5.98565
1,1,2,0,2,10,5.98565
1,1,4,1,0,1,3.903371
1,1,4,1,0,2,3.903371
1,1,4,1,0,3,3.903371
1,1,4,1,0,4,3.903371
1,1,4,1,0,5,3.903371
1,1,4,1,0,6,3.903371
1,1,4,1,0,7,3.903371
1,1,4,1,0,8,3.903371
1,1,4,1,0,9,3.903371
1,1,4,1,0,10,3.903371
1,1,4,1,1,1,5.431215
1,1,4,1,1,2,5.431215
1,1,4,1,1,3,5.431215
1,1,4,1,1,4,5.431215
1,1,4,1,1,5,5.431215
1,1,4,1,1,6,5.431215
1,1,4,1,1,7,5.431215
1,1,4,1,1,8,5.431215
1,1,4,1,1,9,5.431215
1,1,4,1,1,10,5.431215
1,1,4,1,2,1,5.98565
1,1,4,1,2,2,5.98565
1,1,4,1,2,3,5.98565
1,1,4,1,2,4,5.98565
1,1,4,1,2,5,5.98565
1,1,4,1,2,6,5.98565
1,1,4,1,2,7,5.98565
1,1,4,1,2,8,5.98565
1,1,4,1,2,9,5.98565
1,1,4,1,2,10,5.98565
1,1,4,0,0,1,3.903371
1,1,4,0,0,2,3.903371
1,1,4,0,0,3,3.903371
1,1,4,0,0,4,3.903371
1,1,4,0,0,5,3.903371
1,1,4,0,0,6,3.903371
1,1,4,0,0,7,3.903371
1,1,4,0,0,8,3.903371
1,1,4,0,0,9,3.903371
1,1,4,0,0,10,3.903371
1,1,4,0,1,1,5.431215
1,1,4,0,1,2,5.431215
1,1,4,0,1,3,5.431215
1,1,4,0,1,4,5.431215
1,1,4,0,1,5,5.431215
1,1,4,0,1,6,5.431215
1,1,4,0,1,7,5.431215
1,1,4,0,1,8,5.431215
1,1,4,0,1,9,5.431215
1,1,4,0,1,10,5.431215
1,1,4,0,2,1,5.98565
1,1,4,0,2,2,5.98565
1,1,4,0,2,3,5.98565
1,1,4,0,2,4,5.98565
1,1,4,0,2,5,5.98565
1,1,4,0,2,6,5.98565
1,1,4,0,2,7,5.98565
1,1,4,0,2,8,5.98565
1,1,4,0,2,9,5.98565
1,1,4,0,2,10,5.98565
1,1,8,1,0,1,3.903371
1,1,8,1,0,2,3.903371
1,1,8,1,0,3,3.903371
1,1,8,1,0,4,3.903371
1,1,8,1,0,5,3.903371
1,1,8,1,0,6,3.903371
1,1,8,1,0,7,3.903371
1,1,8,1,0,8,3.903371
1,1,8,1,0,9,3.903371
1,1,8,1,0,10,3.903371
1,1,8,1,1,1,5.431215
1,1,8,1,1,2,5.431215
1,1,8,1,1,3,5.431215
1,1,8,1,1,4,5.431215
1,1,8,1,1,5,5.431215
1,1,8,1,1,6,5.431215
1,1,8,1,1,7,5.431215
1,1,8,1,1,8,5.431215
1,1,8,1,1,9,5.431215
1,1,8,1,1,10,5.431215
1,1,8,1,2,1,5.98565
1,1,8,1,2,2,5.98565
1,1,8,1,2,3,5.98565
1,1,8,1,2,4,5.98565
1,1,8,1,2,5,5.98565
1,1,8,1,2,6,5.98565
1,1,8,1,2,7,5.98565
1,1,8,1,2,8,5.98565
1,1,8,1,2,9,5.98565
1,1,8,1,2,10,5.98565
1,1,8,0,0,1,3.903371
1,1,8,0,0,2,3.903371
1,1,8,0,0,3,3.903371
1,1,8,0,0,4,3.903371
